name,symbol,price,market cap,24h volume,24h,7d,30d
Dogecoin,DOGE,$0.1882,$28.60B,$1.81B,6.24%,1.48%,-32.43%
Shiba Inu,SHIB,$0.000009911,$5.85B,$107.10M,6.19%,-0.50%,-26.02%
MemeCore,M,$1.90,$3.21B,$10.86M,-1.87%,-15.84%,-25.07%
Pepe (pepe.vip),PEPE,$0.000006750,$2.80B,$373.36M,6.14%,0.32%,-41.03%
Pudgy Penguins,PENGU,$0.02146,$1.48B,$170.86M,7.01%,-1.26%,-43.60%
OFFICIAL TRUMP,TRUMP,$5.87,$1.18B,$155.70M,3.73%,-0.03%,-32.26%
BONK,BONK,$0.00001420,$1.17B,$249.23M,6.72%,4.93%,-43.80%
SPX6900,SPX,$0.9687,$896.34M,$54.03M,2.71%,-7.65%,-32.22%
Floki,FLOKI,$0.000006599,$634.38M,$49.02M,6.58%,-0.98%,-35.23%
dogwifhat (dogwifcoin.org),WIF,$0.5161,$515.16M,$126.38M,7.99%,7.39%,-45.97%
Fartcoin,FARTCOIN,$0.3646,$366.90M,$115.20M,6.64%,5.50%,-61.06%
USELESS COIN,USELESS,$0.3236,$313.17M,$63.37M,17.57%,47.29%,28.68%
Toshi,TOSHI,$0.000007316,$309.58M,$32.30M,13.86%,-5.77%,-15.57%
Cheems (cheems.pet),CHEEMS,$0.000001477,$298.86M,$3.95M,3.03%,-1.15%,18.75%
Brett Base (basedbrett.com),BRETT,$0.02646,$262.81M,$48.35M,2.18%,-11.77%,-53.11%
Ribbita by Virtuals,TIBBIR,$0.2458,$243.70M,$2.36M,14.77%,24.63%,12.28%
Snek,SNEK,$0.002968,$225.59M,$5.91M,5.44%,-1.32%,-31.72%
BABYDOGE,BABYDOGE,$0.00000001028,$176.09M,$16.18M,9.53%,0.49%,-25.62%
BUILDon,B,$0.1805,$174.89M,$8.39M,7.04%,3.34%,-63.33%
Turbo,TURBO,$0.002512,$172.34M,$19.88M,6.80%,2.78%,-42.87%